CSV_Row,Unit_Name,CSV_Subdistrict,Found_In_KML,Lat,Lon
11,ศาลาการเปรียญวัดอินทาราม,บางยาง,บางเตย,13.9519135,101.1701478
13,ศาลาการเปรียญวัดเทพพิทักษ์บุญญาราม,บางยาง,บางขาม,13.9232631,101.2473865
46,อาคารโรงเรียนวัดสระข่อย,โคกไทย,โคกปีบ,13.8623014,101.4206855
47,อาคารเอนกประสงค์โรงเรียนวัดสระข่อย,โคกไทย,โคกปีบ,13.8623014,101.4206855
64,อาคารโรงจอดรถที่ทำการผู้ใหญ่บ้าน หมู่ที่ 11,บางพลวง,บ้านสร้าง,14.0328521,101.241279
71,ศาลากลางบ้าน หมู่ที่ 4,บ้านพระ,ไม้เค็ด,14.1311437,101.3561527
73,ศาลากลางบ้าน หมู่ที่ 6,บ้านพระ,ไม้เค็ด,14.1170763,101.3247954
78,ศาลากลางบ้าน บ้านดงกระจาย หมู่ที่ 10,บ้านพระ,ไม้เค็ด,14.0950713,101.3228385
79,ศาลากลางบ้าน หมู่ที่ 11,บ้านพระ,ไม้เค็ด,14.1353482,101.3534557
80,ศาลาการเปรียญวัดบ้านยาง,บ้านพระ,ไม้เค็ด,14.0896412,101.3331174
82,อาคารโครงการบ้านหัวเขา,บ้านพระ,ไม้เค็ด,14.1317271,101.3498112
88,ศาลากลางบ้าน หมู่ที่ 16,บ้านพระ,ไม้เค็ด,14.1172473,101.3624493
151,เต็นท์ บริเวณองค์การบริหารส่วนตำบลรอบเมือง,รอบเมือง,หน้าเมือง,14.057595,101.3613447
156,โดมหน้าศาลาธรรมสังเวชวัดเทวบุตร,รอบเมือง,บ้านพระ,14.0804042,101.3533371
158,ศูนย์การเรียนรู้บ้านหนองพังพวย หมู่ที่ 8,รอบเมือง,หน้าเมือง,14.0579696,101.3606539
200,อาคาเรียนโรงเรียนเทศบาล 1 ชั้นล่าง (ด้านทิศตะวันออก),หน้าเมือง,ท่างาม,14.0428191,101.3860051
224,ศาลาการเปรียญวัดหนองปื๊ด,ดงขี้เหล็ก,โพธิ์งาม,14.1945443,101.4390885
231,โรงสีข้าวชุมชน หมู่ที่ 1,กระทุ่มแพ้ว,บางปลาร้า,13.9134066,101.3406676
237,ศาลาประชาคม หมู่ที่ 5,บางบริบูรณ์,ดงพระราม,14.0476809,101.4152093
